Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,450
design__instance__area,3484.59
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003606539103202522
power__switching__total,0.00017067014414351434
power__leakage__total,3.657455893701922E-9
power__total,0.0005313277360983193
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25228431169334664
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2521954938488647
timing__hold__ws__corner:nom_tt_025C_1v80,0.46386107379219665
timing__setup__ws__corner:nom_tt_025C_1v80,5.5977508657241835
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.463861
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.597751
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,12
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.254313438617266
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2542155169437247
timing__hold__ws__corner:nom_ss_100C_1v60,0.9100602751199346
timing__setup__ws__corner:nom_ss_100C_1v60,1.089360632534043
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.146116
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.089361
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25205899192412645
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25196803690026165
timing__hold__ws__corner:nom_ff_n40C_1v95,0.203788491849686
timing__setup__ws__corner:nom_ff_n40C_1v95,7.077481911968415
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.203788
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.331820
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,12
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2518520463464835
clock__skew__worst_setup,0.2517765234230975
timing__hold__ws,0.1989066190277355
timing__setup__ws,1.0014540591364751
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.198907
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.001454
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 92.04 102.76
design__core__bbox,5.52 10.88 86.48 89.76
design__io,36
design__die__area,9458.03
design__core__area,6386.12
design__instance__count__stdcell,450
design__instance__area__stdcell,3484.59
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.54565
design__instance__utilization__stdcell,0.54565
design__instance__count__class:buffer,1
design__instance__count__class:inverter,8
design__instance__count__class:sequential_cell,31
design__instance__count__class:multi_input_combinational_cell,253
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,466
design__instance__count__class:tap_cell,93
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,34
design__io__hpwl,820279
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,7413.64
design__violations,0
design__instance__count__class:timing_repair_buffer,56
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,376
route__net__special,2
route__drc_errors__iter:1,186
route__wirelength__iter:1,8933
route__drc_errors__iter:2,136
route__wirelength__iter:2,8866
route__drc_errors__iter:3,86
route__wirelength__iter:3,8855
route__drc_errors__iter:4,29
route__wirelength__iter:4,8816
route__drc_errors__iter:5,0
route__wirelength__iter:5,8812
route__drc_errors,0
route__wirelength,8812
route__vias,2728
route__vias__singlecut,2728
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,178.005
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25202610156609173
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2519524937774773
timing__hold__ws__corner:min_tt_025C_1v80,0.4562721996038946
timing__setup__ws__corner:min_tt_025C_1v80,5.652928507519374
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
